Qualification Code;Phases Code;Phases Description;Subject Code;Subject Credits;Notional Hours;Periods per Topic;Subject Description;Topic Code;Topic Description;Assessment Criteria Number;Assesment Criteria Description;LPN;Lesson Plan Description ;Lesson Plan Content;Bibliography;Lecturer Actions;Learner Actions;Learning Aids
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0101;Professional conduct of a technician or tradesman in the workplace;KG 1;Explain the professional conduct necessary for a technician or tradesman in the  workplace;LPN 1;As a tadesman behave responsibly and professionally in the workplace;"In the workplace, a professional tradesman balances technical expertise with a strong ethical foundation. This involves prioritizing safety, maintaining clear communication, and demonstrating consistent reliability to build trust with clients and colleagues. 
Core Professional Behaviors
Safety First: Prioritizing the safety of clients, the team, and yourself is the primary responsibility. This includes following all Occupational Health and Safety Act (OHSA) regulations, using proper equipment, and maintaining a tidy job site to prevent hazards.
Punctuality & Reliability: Consistently arriving on time or early demonstrates respect for others' time and ensures project schedules are met. Honoring commitments and finishing tasks properly—without cutting corners—establishes a reputation for dependability.
Integrity & Honesty: Act with transparency in all dealings, providing accurate quotes and being truthful about job progress or potential delays. If a mistake occurs, a professional takes accountability and works to fix it immediately rather than hiding it.
Effective Communication: Use clear, respectful language and practice active listening to fully understand client needs and project requirements. Maintaining records of communication and job changes helps prevent misunderstandings. 
Workplace Conduct & Image
Professional Appearance: Adhering to the company's dress code, wearing clean and appropriate PPE, and displaying a name badge or logo helps project a capable image.
Respectful Interpersonal Skills: Treat everyone—including clients, managers, and subcontractors—with dignity and courtesy. Avoid workplace gossip, inappropriate jokes, and discriminatory behavior to foster an inclusive environment.
Organization & Care of Tools: Keep tools and equipment organized, clean, and properly stored. This not only protects your assets but also shows readiness to work.
Continuous Learning: Stay updated on the latest industry standards, regulations, and technologies to ensure your skills remain competitive and your work meets current safety codes. 
Responsible Stewardship
Environmental Responsibility: Minimize waste, reduce energy consumption, and use eco-friendly products where possible.
Conflict Resolution: Handle disagreements calmly and through constructive dialogue, seeking mediation if necessary to maintain a productive atmosphere. 
Would you like to explore a sample code of conduct or a checklist for daily job site safety to help implement these standards";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0102;Onboarding, induction of a technical apprentice learner;KG 2;Activities and task necessary to succesfull onboard a student technical Apprentice;LPN 2;Induction and orientation to the technical apprentice learning program;"In South Africa, onboarding a technical apprentice is a regulated process governed by the Skills Development Act and specific Sector Education and Training Authorities (SETAs).
A successful onboarding requires a blend of legal compliance, workplace preparation, and structured mentorship to ensure the student transitions from a learner to a competent artisan. 

Legal and Regulatory Compliance
SETA Registration: The employer must register the apprentice with the relevant SETA (e.g., merSETA for motor/metal trades, CHIETA for chemical) within 30 days of employment.
Contractual Agreements: Two key documents must be signed: a Learnership/Apprenticeship Agreement (tripartite between the employer, student, and training provider) and a fixed-term Employment Contract.

Medical Fitness: The employer is responsible for ensuring the apprentice undergoes a medical examination relevant to the trade, with costs borne by the company.
Statutory Registrations: Register the apprentice for UIF (Unemployment Insurance Fund) and COIDA (Compensation for Occupational Injuries and Diseases Act) to ensure coverage in case of workplace accidents. 

Physical and Tooling Preparation
PPE Issuance: Provide appropriate Personal Protective Equipment (PPE), such as steel-toed boots, overalls, and safety goggles, at no cost to the apprentice.
Toolbox Setup: Ensure the apprentice has access to the basic tools of the trade. While some companies provide these, others facilitate a ""tool allowance"" or payroll deduction scheme for the apprentice to own their kit.

Workplace Approval: Confirm that the site is a SETA-approved workplace for the specific trade modules to be taught. 

Mentorship and Structured Training
Assign a Qualified Mentor: The apprentice must work under the direct supervision of a qualified artisan (journeyman) in the same trade.

Logbook Induction: Introduce the Training Logbook. This is a critical legal document where the apprentice records daily tasks, which must be signed off by the mentor to prove competency for the final Trade Test.

Rotation Planning: Schedule rotations across different departments or ""host employers"" if your workshop does not cover all modules required by the curriculum. 

Workplace Integration and Safety
Safety Induction: Conduct a thorough walkthrough of the site's safety protocols, emergency exits, and first aid stations in line with the Occupational Health and Safety Act (OHSA).
Financial Literacy: Since this is often a student's first job, explain payslip deductions (PAYE, UIF, and SETA-approved tool deductions) to prevent confusion on their first payday.

Buddy System: Pair the new student with a ""senior"" apprentice (peer buddy) who can offer informal advice on navigating the workshop culture.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0103;Ethical behavior and communication by a technical apprentice or tradesman;KG 3;Effective communication within a technical workshop;LPN 3;As a tehnical tradesman behave ethically and communicate professionally in the workplace;"A technical workshop relies on clear, ethical, and professional communication to maintain safety, productivity, and teamwork. Apprentices must understand that communication is not limited to speaking; it includes listening, interpreting instructions accurately, reporting progress honestly, and asking for clarification when needed. Ethical behaviour forms the foundation of this communication. This means acting with honesty, respecting colleagues and supervisors, and taking responsibility for one’s actions. A tradesman who communicates ethically builds trust, reduces conflict, and contributes to a positive workshop culture.

Professional communication also requires awareness of workshop protocols. Apprentices must follow established channels when reporting faults, safety hazards, or delays. They must document work accurately, maintain confidentiality where required, and avoid spreading misinformation or engaging in gossip. In a diverse workshop environment, respectful communication ensures that tasks are completed safely and efficiently. By combining ethical behaviour with effective communication, apprentices demonstrate professionalism and contribute to a safe, productive, and legally compliant workplace.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0104;Manage personal finances;KG 4;How to manage your personal finance within the South African Context;LPN 4;How to manage personal finances in the South African context;"Managing personal finances is a critical life skill for apprentices entering the workforce, especially within the South African economic environment. Apprentices must understand how to interpret their payslip, including deductions such as PAYE, UIF, and any employer‑approved contributions. Financial literacy begins with creating a realistic monthly budget that accounts for essential expenses such as transport, food, accommodation, and communication. By tracking income and expenses, apprentices can avoid unnecessary debt and develop responsible spending habits.

South Africa’s financial landscape offers various tools to support responsible money management. Apprentices should learn the difference between good debt (such as study loans) and harmful debt (such as high‑interest credit or store accounts). They must also understand the importance of saving, even in small amounts, to build financial resilience. Setting financial goals, using banking apps responsibly, and avoiding scams or predatory lending practices are essential components of financial wellbeing. By developing strong financial habits early in their careers, apprentices position themselves for long‑term stability and independence.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0105;Time management;KG 5;Ho to conduct time management;LPN 5;Plan for work activities and manage time effectively;"Effective time management is essential for apprentices working in fast‑paced technical environments where deadlines, safety, and workflow coordination are critical. Apprentices must learn to prioritise tasks based on urgency and importance, ensuring that essential duties are completed without compromising quality. Time management begins with planning the workday, understanding job requirements, and allocating sufficient time for preparation, execution, and quality checks. Arriving early, organising tools beforehand, and anticipating potential delays help apprentices maintain productivity and reliability.

In a workshop setting, poor time management can lead to safety risks, rushed work, and miscommunication. Apprentices must learn to break complex tasks into manageable steps, use checklists, and communicate proactively when delays occur. They should also understand how to balance multiple responsibilities, such as practical tasks, logbook entries, and training sessions. By developing strong time‑management habits, apprentices demonstrate professionalism, reduce stress, and contribute to a smooth and efficient workflow.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0106;How to use a personal computer;KG 6;Identify and explain the computer skills necessary for a technician;LPN 6;Use a personal computer, applications and peripherals;"Modern technical environments require apprentices to be competent in basic computer skills, as digital tools are used for communication, documentation, diagnostics, and research. Apprentices must understand how to operate a personal computer, navigate operating systems, and use essential software such as email, word processors, spreadsheets, and workshop‑specific applications. These skills enable them to complete digital logbooks, access training materials, and communicate effectively with supervisors and training providers.

Computer literacy also includes understanding how to store and retrieve files, use cloud‑based platforms, and follow cybersecurity best practices. Apprentices must learn to protect sensitive information, avoid unsafe downloads, and recognise phishing attempts. In many workshops, technicians use digital manuals, online catalogues, and diagnostic software to troubleshoot equipment. By developing strong computer skills, apprentices enhance their employability, improve accuracy in their work, and adapt to the increasing digitalisation of the engineering sector.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0107;Quality assurance activities;KG 7;Indentify and explain the quality assurance activities necessary for a mechanical engineer with emphasis on the job role of a fitter and turner or machinists;LPN 7;Conduct Quality Assurance activities applicable to a technical tradesman;"Quality assurance (QA) is a critical component of mechanical engineering practice, ensuring that all work meets required standards, tolerances, and safety expectations. For a fitter and turner or machinist, QA begins with understanding job specifications, engineering drawings, and material requirements. Apprentices must learn to verify dimensions, inspect components for defects, and confirm that tools and machines are calibrated correctly. This includes checking for wear on measuring instruments, ensuring cutting tools are sharp, and confirming that machines operate within safe and accurate parameters.

In the workshop environment, QA also involves following standard operating procedures, documenting work accurately, and reporting deviations immediately. Apprentices must understand the importance of traceability — keeping records of measurements, adjustments, and inspections to demonstrate compliance. They must also participate in routine quality checks, such as first‑off inspections, in‑process inspections, and final verification before a component is approved. By applying consistent quality assurance practices, apprentices contribute to reduced rework, improved safety, and higher customer satisfaction.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KT0101;Career opportunities for a qualified fitter and turner;AC 1;The job environment and roles of a fitter and turner is accurately described and explained;LPN 8;Career opportunities for a qualified fitter and turner;"A qualified fitter and turner has access to a wide range of career opportunities across South Africa’s industrial sectors, including manufacturing, mining, energy, automotive, and engineering services. Apprentices must understand that the role extends beyond basic machining; it includes installation, maintenance, fault‑finding, and repair of mechanical components and systems. Fitters and turners work with precision tools, operate lathes and milling machines, assemble machinery, and ensure that equipment functions safely and efficiently. Their work environment may include workshops, factories, mines, power plants, and field‑service operations.

The role also requires strong problem‑solving skills, attention to detail, and the ability to interpret engineering drawings. As they gain experience, fitters and turners may specialise in areas such as CNC machining, hydraulics, pneumatics, or plant maintenance. Career progression can lead to supervisory roles, quality control positions, or further training as an engineering technician. Understanding the breadth of opportunities helps apprentices appreciate the value of their trade and motivates them to develop the professional behaviours and technical skills required for long‑term success.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KT0102;Occupational profile of a fitter and turner;AC 2;The profile of a fitter and turner is described with respect to industry description and requirements;LPN 9;Occupational profile of a fitter and turner;"The occupational profile of a fitter and turner outlines the skills, responsibilities, and competencies required to perform effectively in the mechanical engineering sector. Apprentices must understand that the trade involves precision machining, assembly, maintenance, and repair of mechanical components. Fitters and turners must be able to read and interpret engineering drawings, select appropriate tools, and apply correct machining techniques to produce components within specified tolerances. They must also understand material properties, safety regulations, and workshop procedures.

Industry requirements emphasise reliability, accuracy, and adherence to quality standards. Fitters and turners must be physically capable of handling tools and equipment, mentally alert to identify hazards, and disciplined in following safety protocols. Many industries require additional certifications, such as working at heights, confined spaces, or specific machine‑operation permits. By understanding the occupational profile, apprentices gain clarity on the expectations of the trade and the professional standards they must uphold to succeed in the workplace.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KT0103;Legislation related to apprentices in the fitting and turning trade;AC 3;Legal aspects pertaining to apprentices are explained;LPN 10;Legislation related to apprentices in the fitting and turning trade;"Apprentices in the fitting and turning trade operate within a legal framework designed to protect their rights, ensure fair training, and promote workplace safety. Apprentices must understand the key legislation that governs their training, including the Skills Development Act, the Labour Relations Act, the Basic Conditions of Employment Act, and the Occupational Health and Safety Act. These laws outline employer responsibilities, apprentice rights, working hours, leave entitlements, and conditions for safe and healthy workplaces. They also regulate the registration of apprentices with the relevant SETA and the requirements for completing a recognised apprenticeship programme.

Legal compliance also includes the signing of a Learnership or Apprenticeship Agreement, which defines the roles of the employer, training provider, and apprentice. Apprentices must understand the importance of maintaining their training logbook, attending scheduled training sessions, and adhering to workplace rules. They must also be aware of procedures for reporting injuries, unsafe conditions, or unfair treatment. By understanding the legal framework, apprentices are empowered to participate responsibly in their training and contribute to a compliant and safe working environment.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
