Title;Address;Contact Person Particulars;Contact Email Address;Contact Phone Number
Contact information;https://www.gov.za/about-government/contact-directory;;;
Agriculture;https://www.nda.gov.za/;;;
Agriculture;https://www.gov.za/about-government/contact-directory/ministers/agriculture-ministry;;;
Basic Education;https://www.education.gov.za/;;;
Basic Education;https://www.gov.za/about-government/contact-directory/ministers/ministers/basic-education-ministry;;;
Civilian Secretariat for Police;http://www.policesecretariat.gov.za/;;;
Police;https://www.gov.za/about-government/contact-directory/ministers/ministers/police-ministry;;;
Communications and Digital Technologies;https://www.dcdt.gov.za/;;;
Communications and Digital Technologies;https://www.gov.za/about-government/contact-directory/ministers/ministers/communications-ministry;;;
Cooperative Governance and Traditional Affairs;https://www.cogta.gov.za/;;;
Cooperative Governance and Traditional Affairs;https://www.gov.za/about-government/contact-directory/ministers/ministers/cooperative-governance-and-traditional-0;;;
Correctional Services;http://www.dcs.gov.za/;;;
Justice and Correctional Services;https://www.gov.za/about-government/contact-directory/ministers/ministers/justice-and-correctional-services-ministry;;;
Defence;http://www.dod.mil.za/;;;
Defence and Military Veterans;https://www.gov.za/about-government/contact-directory/ministers/ministers/defence-and-military-veterans-ministry;;;
Electricity and Energy;https://www.dmre.gov.za/;;;
Electricity and Energy;https://www.gov.za/about-government/contact-directory/ministers/electricity-and-energy-ministry;;;
Employment and Labour;http://www.labour.gov.za/;;;
Employment and Labour;https://www.gov.za/about-government/contact-directory/ministers/ministers/labour-ministry;;;
Forestry, Fisheries and the Environment;https://www.dffe.gov.za/;;;
Forestry, Fisheries and the Environment;https://www.gov.za/about-government/contact-directory/ministers/ministers/forestry-fisheries-environment-ministry;;;
Government Communication and Information System;https://www.gcis.gov.za/;;;
The Presidency;https://www.gov.za/about-government/contact-directory/ministers/ministers/presidency;;;
Health;https://www.health.gov.za/;;;
Health;https://www.gov.za/about-government/contact-directory/ministers/ministers/health-ministry;;;
Higher Education (Higher Education and Training);https://www.dhet.gov.za/;;;
Higher Education;https://www.gov.za/about-government/contact-directory/ministers/higher-education-ministry;;;
Home Affairs;http://www.dha.gov.za/;;;
Home Affairs;https://www.gov.za/about-government/contact-directory/ministers/ministers/home-affairs-ministry;;;
Human Settlements;https://www.dhs.gov.za/;;;
Human Settlements;https://www.gov.za/about-government/contact-directory/ministers/ministers/human-settlements-ministry-0;;;
Independent Police Investigative Directorate;https://www.ipid.gov.za/;;;
International Relations and Cooperation;https://www.dirco.gov.za/;;;
International Relations and Cooperation;https://www.gov.za/about-government/contact-directory/ministers/ministers/international-relations-and-cooperation;;;
Justice and Constitutional Development;https://www.justice.gov.za/;;;
Land Reform and Rural Development;https://www.dlrrd.gov.za/;;;
Land Reform and Rural Development;https://www.gov.za/about-government/contact-directory/ministers/land-reform-and-rural-development-ministry;;;
Military Veterans;http://www.dmv.gov.za/;;;
Mineral and Petroleum Resources;http://www.dmre.gov.za/;;;
Mineral and Petroleum Resources;https://www.gov.za/about-government/contact-directory/ministers/mineral-and-petroleum-resources-ministry;;;
National School of Government;https://www.thensg.gov.za/;;;
Public Service and Administration;https://www.gov.za/about-government/contact-directory/ministers/ministers/public-service-and-administration-ministry;;;
National Treasury;https://www.treasury.gov.za/;;;
Finance;https://www.gov.za/about-government/contact-directory/ministers/ministers/finance-ministry;;;
Office of the Chief Justice;https://www.judiciary.org.za/;;;
Planning Monitoring and Evaluation;https://www.dpme.gov.za/Pages/default.aspx;;;
Planning, Monitoring and Evaluation (The Presidency);https://www.gov.za/about-government/contact-directory/ministers/planning-monitoring-and-evaluation-ministry;;;
Public Service and Administration;https://www.dpsa.gov.za/;;;
Public Service Commission;https://www.psc.gov.za/;;;
Public Works and Infrastructure;http://www.publicworks.gov.za/;;;
Public Works and Infrastructure;https://www.gov.za/about-government/contact-directory/ministers/ministers/public-works-ministry;;;
Science, Technology and Innovation;https://www.dsti.gov.za/;;;
Science, Technology and Innovation;https://www.gov.za/about-government/contact-directory/ministers/science-technology-and-innovation-ministry;;;
Small Business Development;http://www.dsbd.gov.za/;;;
Small Business Development;https://www.gov.za/about-government/contact-directory/ministers/ministers/small-business-development-ministry;;;
Social Development;https://www.dsd.gov.za/;;;
Social Development;https://www.gov.za/about-government/contact-directory/ministers/ministers/social-development-ministry;;;
SA Police Service;https://www.saps.gov.za/;;;
SA Revenue Service;https://www.sars.gov.za/;;;
State Security Agency;https://www.ssa.gov.za/;;;
Sport, Arts and Culture;https://www.dsac.gov.za/;;;
Sport, Arts and Culture;https://www.gov.za/about-government/contact-directory/ministers/ministers/arts-and-culture-ministry;;;
Statistics South Africa;http://www.statssa.gov.za/;;;
Tourism;https://www.tourism.gov.za/Pages/home.aspx;;;
Tourism;https://www.gov.za/about-government/contact-directory/ministers/ministers/tourism-ministry;;;
Trade, Industry and Competition;http://www.thedtic.gov.za/;;;
Trade, Industry and Competition;https://www.gov.za/about-government/contact-directory/ministers/ministers/trade-and-industry-1ministry;;;
Transport;https://www.transport.gov.za/;;;
Transport;https://www.gov.za/about-government/contact-directory/ministers/ministers/transport-ministry;;;
Water and Sanitation;https://www.dws.gov.za/;;;
Water and Sanitation;https://www.gov.za/about-government/contact-directory/ministers/ministers/water-and-sanitation-ministry;;;
Women, Youth and Persons with Disabilities;https://www.dwypd.gov.za/;;;
Women, Youth and Persons with Disabilities (The Presidency);https://www.gov.za/about-government/contact-directory/ministers/ministers/women-ministry;;;
The Presidency;https://www.thepresidency.gov.za/;;;
