Organisation;Acronym;Office;Web Address (Url);Contact Person;Email;Focus Areas;Contact Number;Any other possibe contact email addresses
UNICEF;UNICEF;UNICEF South Africa;;Country Office;pretoria@unicef.org;"Children; disability inclusion; community support";;
UNDP;UNDP;UNDP South Africa;;Communications;communications.za@undp.org;"Development; social inclusion; poverty reduction";;
UNESCO;UNESCO;UNESCO South African National Commission;;Secretary;govuza.t@dbe.gov.za;"Education; culture; inclusion";;
WHO;WHO;WHO South Africa;;Country Office;afwcozawr@who.int;"Health systems; disability; long-term care";;
IOM;IOM;IOM South Africa;;Country Office;IOMPretoria@iom.int;"Migration; vulnerable persons; protection";;
OHCHR;OHCHR;OHCHR Regional Office for Southern Africa;;Regional Office;rosa@ohchr.org;"Human rights; disability rights";;
UNFPA;UNFPA;UNFPA South Africa;;Country Office;nkosi@unfpa.org;"Vulnerable populations; gender; community support";;
UN Women;UN Women;UN Women Multi-Country Office;;UN House Pretoria;;No direct email listed;;
WFP;WFP;World Food Programme South Africa;;Country Office;hlalanathi.fundzo@wfp.org;"Food security; vulnerable households";;
UNHCR;UNHCR;UNHCR Regional Office for Southern Africa;;Regional Office;;Protection of vulnerable persons;+27 12 762 7413;
EU Delegation;EU;European Union to South Africa;;Delegation Office;DELEGATION-S-AFRICA@eeas.europa.eu;Major funder of social programmes;;
HRW;HRW;Human Rights Watch;;Africa Division;africa@hrw.org;"Human rights; advocacy";;
ICRC;ICRC;International Committee of the Red Cross;;Pretoria Delegation;;No email listed;;
JDC;JDC;American Jewish Joint Distribution Committee;;Global Programmes;;Global disability and care programmes;;
CRS;CRS;Catholic Relief Services;;Global Humanitarian;;Global humanitarian support;;
World Vision;World Vision;World Vision International;;Southern Africa;;Global humanitarian and development;;
FAO;FAO;FAO South Africa;;Country Office;FAO-ZA@fao.org;"Food security; vulnerable groups";;
ILO;ILO;International Labour Organization South Africa;;Country Office;pretoria@ilo.org;"Social protection; community care workers";;
IMF;IMF;International Monetary Fund South Africa;;Resident Representative;RR-ZAF@imf.org;"Policy; advocacy (not direct funding)";;
World Bank;World Bank;World Bank South Africa;;External Affairs;zratshitanga@worldbank.org;"Community development; social protection";;
African Union;AU;African Union Development Agency (AUDA-NEPAD);;Southern Africa Office;info@nepad.org;"Development; social protection; community infrastructure";;
African Union;AU;African Union Commission;;Social Affairs Department;DIC@africa-union.org;"Disability; social protection; inclusion";;
African Union;AU;African Union Humanitarian Affairs Division;;Humanitarian Support;HA@africa-union.org;Emergency and humanitarian response;;
Nordic Council;Nordic Council;Nordic Council of Ministers;;International Cooperation;ncm@norden.org;Nordic development and social inclusion;;
Norad;Norad;Norwegian Agency for Development Cooperation;;Global Programmes;postmottak@norad.no;Strong disability and humanitarian funding;;
Sida;Sida;Swedish International Development Cooperation Agency;;Global Programmes;info@sida.se;"Community development; social protection";;
Danish MFA;Danish MFA;Danish Ministry of Foreign Affairs;;International Development;um@um.dk;Humanitarian and disability support;;
Finnish MFA;Finnish MFA;Finnish Ministry for Foreign Affairs;;Development Cooperation;kirjaamo.um@formin.fi;"Social inclusion; community care";;
Commonwealth Foundation;Commonwealth;Commonwealth Foundation;;Grants Programme;info@commonwealthfoundation.com;"Civil society; community development";;
Commonwealth Secretariat;Commonwealth;Commonwealth Secretariat;;Social Development Division;info@commonwealth.int;"Inclusion; disability rights; governance";;
Commonwealth of Learning;Commonwealth;Commonwealth of Learning;;Development Programmes;info@col.org;"Education; digital inclusion";;
Open Society Foundations;Open Society;Open Society Foundations;;Global Grants;grants@opensocietyfoundations.org;"Human rights; disability; community support";;
Open Society SA;Open Society;Open Society Foundation for South Africa;;South Africa Office;info@osf.org.za;"Social justice; vulnerable communities";;
Clinton Foundation;Clinton Foundation;Clinton Foundation;;Global Initiatives;info@clintonfoundation.org;"Health; community development";;
CHAI;CHAI;Clinton Health Access Initiative;;Southern Africa Office;info@clintonhealthaccess.org;"Health systems; vulnerable populations";;
Nedbank;Nedbank;Nedbank Foundation;;CSI Office;CSI@nedbank.co.za;South African corporate CSI;;
Standard Bank;Standard Bank;Standard Bank CSI;;CSI Office;CSI@standardbank.co.za;Corporate social investment;;
FNB;FNB;FNB Philanthropy;;CSI Office;foundation@fnb.co.za;"Community development; vulnerable groups";;
Absa;Absa;Absa Corporate Citizenship;;CSI Office;corporate.citizenship@absa.africa;"CSI; social protection";;
MTN;MTN;MTN Foundation;;CSI Office;foundation@mtn.com;"Digital inclusion; community support";;
Vodacom;Vodacom;Vodacom Foundation;;CSI Office;foundation@vodacom.co.za;"Digital inclusion; vulnerable communities";;
Shoprite;Shoprite;Shoprite Act for Change;;CSI Office;actforchange@shoprite.co.za;"Food security; vulnerable households";;
Woolworths;Woolworths;Woolworths Trust;;CSI Office;trust@woolworths.co.za;"Community development; food security";;
Pick n Pay;Pick n Pay;Pick n Pay Foundation;;CSI Office;foundation@pnp.co.za;"Community support; food security";;
Tiger Brands;Tiger Brands;Tiger Brands Foundation;;CSI Office;info@tigerbrandsfoundation.org.za;"Nutrition; vulnerable groups";;
Discovery;Discovery;Discovery Fund;;CSI Office;discoveryfund@discovery.co.za;"Health; community support";;
Old Mutual;Old Mutual;Old Mutual Foundation;;CSI Office;foundation@oldmutual.co.za;"Community development; education";;
Sanlam;Sanlam;Sanlam Foundation;;CSI Office;foundation@sanlam.co.za;"Community development; vulnerable groups";;
