"StandardNumber","Title"
"SANS 10107 Ed 3.1","The design and installation of ceramic tiling"
"SANS 10142-1 Ed 3.3","The wiring of premises Part 1: Low-voltage installations"
"SANS 10406 Ed 3","Transport of dangerous goods - The reprocessing of previously certified packaging."
"SANS 1043 Ed 3.2","Disposable sanitary pads"
"SANS 10456 Ed 2","Building materials and products - Procedures for determining declared and design thermal values"
"SANS 10993-10 Ed 2","Biological evaluation of medical devices Part 10: Tests for irritation and delayed-type hypersensitivity."
"SANS 110 Ed 1.6","Sealing compounds for the building industry, two-component, polysulphide base."
"SANS 11137-1 Ed 2","Sterilization of health care products - Radiation Part 1: Requirements for development, validation and routine control of a sterilization process for medical devices."
"SANS 11193-1 Ed 3","Single-use medical examination gloves Part 1: Specification for gloves made from rubber latex or rubber solution."
"SANS 11200 Ed 2 and ISO amdt 1","Acoustics - Noise emitted by machinery and equipment - Guidelines for the use of basic standards for the determination of emission sound pressure levels at a work station and at other specified positions."
"SANS 1129 Ed 1.5","Steel door frames."
"SANS 1174 Ed 2.3","Bains-marie and hot cupboards"
"SANS 1322 Ed 1.5","Portable, non-refillable fire extinguishers (general purpose type)"
"SANS 13253 Ed 3","Ducted air-conditioners and air-to-air heat pumps - Testing and rating for performance. t specifies performance testing, the standard conditions and the test methods for determining the capacity and efficiency ratings of air-cooled, air-conditioners and air-to-air heat pumps."
"SANS 13370 Ed 2","Thermal performance of buildings - Heat transfer via the ground - Calculation methods."
"SANS 13408-1 Ed 2","Aseptic processing of health care products - Part 1: General requirements."
"SANS 1414 Ed 1.1","General specification and testing procedures for sealed insulated glass units (SIGU)"
"SANS 14520-1 Ed 4","Gaseous fire-extinguishing systems - Physical properties and system design Part 1: General requirements"
"SANS 14520-17 Ed 1","Gaseous fire-extinguishing systems - Physical properties and system design Part 17: Halocarbon Blend 55."
"SANS 15883-1 Ed 2","Washer-disinfectors Part 1: General requirements, terms and definitions and tests."
"SANS 15883-2 Ed 2","Washer-disinfectors Part 2: Requirements and tests for washer-disinfectors employing thermal disinfection for critical and semi-critical medical devices"
"SANS 1599-1 Ed 1.6","Cranes Part 1: Cantilever/Slewing jib cranes"
"SANS 15995 Ed 1","Gas cylinders - Specification and testing of LPG cylinder valves - Manually operated."
"SANS 1638 Ed 3.1","Pneumatically powered chain hoists"
"SANS 1661 Ed 4.3","Cord extension sets and cable reels"
"SANS 17020 Ed 3","Conformity assessment — Requirements for bodies performing inspection"
"SANS 17298 Ed 1","Biodiversity - Considering biodiversity in the strategy and operations of organizations - Requirements and guidelines."
"SANS 1746 Ed 1.3","Timber preservative - Tributyltin naphthenate-permethrin"
"SANS 1812 Ed 1.1","Washable, reusable sanitary pads"
"SANS 1825 Ed 4.4","Gas cylinder test stations - General requirements for periodic inspection and testing of transportable refillable gas pressure receptacles"
"SANS 1853 Ed 3","Disinfectants, detergent-disinfectants and antiseptics for use in the food industry."
"SANS 19785-1 Ed 2","Information technology - Common Biometric Exchange Formats Framework Part 1: Data element specification."
"SANS 2086 Ed 1","Single control progressive opening medical mixing taps"
"SANS 2096 Ed 1","Enzyme-linked Immunosorbent Assay (ELISA) for the Determination of Microcystin and Nodularin in Water Samples"
"SANS 21149 Ed 2.1 and ISO amdt 1","Cosmetics — Microbiology — Enumeration
and detection of aerobic mesophilic bacteria"
"SANS 2144 Ed 1","Criteria for verification, uncertainty of measurement and quality assurance in hydrobiological testing"
"SANS 2145 Ed 1","General performance requirements for protective clothing"
"SANS 2180-1 Ed 1","Mine shaft overwind protection - Part 1: Vocabulary"
"SANS 2180-2 Ed 1","Mine shaft overwind protection - Part 2: Headgear overwind safety."
"SANS 2180-3 Ed 1","Mine shaft overwind protection - Part 3:  Shaft hoist energy absorbing systems."
